rownames.camera_results.	camera_descr	PValue	FDR	camera_Phenotype	camera_genes
URETERIC BUD DEVELOPMENT%GOBP%GO:0001657	URETERIC BUD DEVELOPMENT	4.21418675114734e-08	1.78719829037294e-05	1	BMP2,BMP4,BMP7,CTNNBIP1,FGF1,FGF2,FGFR2,FOXJ1,GATA3,GPC3,LHX1,MYC,NPNT,OSR1,PAX2,PAX8,PKD2,ROBO2,SALL1,SIX1,SLIT2,TCF21,WNT11,WT1
DITERPENOID METABOLIC PROCESS%GOBP%GO:0016101	DITERPENOID METABOLIC PROCESS	6.63276928591856e-08	2.57848905990084e-05	1	ABCA4,AGRN,AKR1C1,AKR1C3,ALDH1A2,ALDH1A3,ALDH3A2,APOA1,APOC2,APOE,APOM,CYP1B1,CYP26B1,DHRS3,DHRS9,GPC1,GPC2,GPC3,GPC4,GPC6,HSPG2,LDLR,LPL,LRAT,LRP1,LRP2,LRP8,NAPEPLD,PECR,PLB1,RARRES2,RBP1,RBP4,RDH10,RDH11,RDH5,RETSAT,SCPEP1,SDC1,SDC2,SDC3,SDC4,SDR16C5,STRA6
TERPENOID METABOLIC PROCESS%GOBP%GO:0006721	TERPENOID METABOLIC PROCESS	1.10528960804282e-07	3.9662892473229e-05	1	ABCA4,AGRN,AKR1C1,AKR1C3,ALDH1A2,ALDH1A3,ALDH3A2,APOA1,APOC2,APOE,APOM,CYP1B1,CYP26B1,CYP2E1,DHRS3,DHRS9,FDPS,GPC1,GPC2,GPC3,GPC4,GPC6,HSPG2,LDLR,LPL,LRAT,LRP1,LRP2,LRP8,NAPEPLD,PECR,PLB1,RARRES2,RBP1,RBP4,RDH10,RDH11,RDH5,RETSAT,SCPEP1,SDC1,SDC2,SDC3,SDC4,SDR16C5,STRA6
DIGESTIVE TRACT DEVELOPMENT%GOBP%GO:0048565	DIGESTIVE TRACT DEVELOPMENT	1.31796769870871e-07	4.39165665319725e-05	1	AGR2,AHI1,BBS7,CCDC103,CCDC40,CHD8,COBL,DACT1,EDNRB,EPHB3,FGFR2,FOXF1,GATA2,GATA3,GATA4,GATA5,GATA6,GLI2,GLI3,ID2,ITGA6,ITGB4,KIT,MEGF8,NIPBL,NPHP3,PCSK5,PDGFRA,PKD1,PKDCC,RARB,RARRES2,RET,SALL1,SIX2,SMO,SOX11,SOX17,STRA6,TBX2,TCF21,TGFB2,TNF,TRPS1,WNT11
REGULATION OF MESONEPHROS DEVELOPMENT%GOBP%GO:0061217	REGULATION OF MESONEPHROS DEVELOPMENT	1.75710484640877e-07	5.46459607233126e-05	1	AGT,BASP1,BMP4,GATA3,LHX1,NOG,PAX2,PAX8,SIX1,SIX2,SIX4,SMO,SOX9,TACSTD2,VEGFA,WT1
SYSTEM PROCESS%GOBP%GO:0003008	SYSTEM PROCESS	2.3504062873214e-07	6.85290333147146e-05	1	ABCA7,ABLIM1,ACE2,ACE,ACSM3,ACTA2,ACTG2,ACVRL1,ADCY1,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY9,ADM,ADORA2A,ADORA2B,ADRA1B,ADRA2A,ADRB2,ADRBK1,AGTPBP1,AGT,AKR1C1,AKR1C3,ALDH7A1,ALDOA,ALOXE3,AMOT,ANGPT1,ANK3,ANKRD2,ANO1,ANPEP,APP,AQP1,AQP3,AQP5,AQP6,AQP9,ARHGEF11,ASPH,ATAD1,ATP1A1,ATP1B1,ATP2A1,ATP2A2,ATP2B2,ATP6AP2,ATP6V1B1,ATXN7,AVPR1A,AVPR2,AZGP1,BBS4,BDKRB2,BEST1,BHLHB9,BMPR2,C3AR1,C5AR1,CABP4,CACNA1D,CACNA1F,CACNA1H,CACNA2D4,CACNG4,CALD1,CALM1,CALM2,CALM3,CAMK2D,CAMTA2,CAV1,CBR3,CCDC78,CD34,CD36,CDH23,CFLAR,CHD7,CHMP2B,CHRNA1,CHRNB1,CHRNB4,CHRNE,CKMT2,CLCN5,CLCNKB,CLDN16,CLDN5,CLIC5,CLN3,CNGB1,CNTNAP1,COL11A1,COL11A2,COL18A1,COL1A1,COL1A2,COPA,CORIN,CPEB3,CRYAB,CRYZ,CST1,CTNNA2,CTNNBIP1,CTNS,CTSZ,CXCL10,CXCL12,CYB5R3,CYBA,CYFIP1,CYP1B1,CYSLTR1,DCDC2,DDAH1,DES,DFNA5,DFNB31,DGCR2,DHRS3,DLG4,DLL1,DLL4,DMD,DNAJC19,DOPEY2,DRAM2,DRD2,DTNA,ECE1,ECEL1,EDN1,EDN2,EDNRA,EDNRB,EFEMP1,EGFR,EIF2AK4,EIF4EBP2,ELN,EMD,EML2,EMP2,ENG,ENPEP,EPB41,EPHB1,EPHX2,ERAP1,ERAP2,EYA3,EYA4,F11R,F2RL1,F2R,FAM134B,FAM65B,FGF13,FGFBP3,FSCN2,FXYD1,FYN,GAA,GAMT,GAS6,GCH1,GCLC,GCLM,GJA1,GJA3,GJC1,GLRB,GNAL,GNAO1,GNAS,GPR143,GPR155,GPX1,GRHPR,GRIN2A,GSK3A,GSN,GSTM2,GUCY1A3,GUCY1B3,HAS2,HBB,HDAC4,HLA-DRA,HMOX1,HOXA1,HOXB2,HPN,HRH2,HTR2B,HYAL2,ID2,IGF1,IL1B,IMPG2,INHBA,INPP5K,ITGA1,ITGA3,ITGB1BP1,ITGB5,JSRP1,KCNH2,KCNIP2,KCNJ11,KCNJ12,KCNJ2,KCNK5,KCNMA1,KCNMB2,KCNMB3,KCNMB4,KCNQ1,KIFC3,KIT,KLHL3,KLK8,KPTN,LDLR,LGMN,LMOD1,LNPEP,LPO,LRP5,LRTOMT,LTB4R,MAGT1,MAPK8IP2,MARVELD2,MCAM,MEF2C,MKKS,MME,MMP24,MTHFR,MUC4,MUC6,MYH11,MYH14,MYL12A,MYL12B,MYL5,MYL6B,MYL6,MYL9,MYLK3,MYLK,MYLPF,MYO1E,MYO3A,MYO5B,MYO7A,MYO9A,MYOF,NDP,NDUFB9,NEB,NEDD4L,NF1,NFAT5,NFE2,NIPBL,NLGN2,NLGN3,NLGN4X,NOD2,NOS3,NPHP1,NPR1,NPR2,NPR3,NRXN2,NRXN3,NTF4,NTRK2,OAT,OBP2A,OBP2B,OLR1,OPA1,OPA3,OPRL1,OR2A4,OR2A7,OR2W3,OXTR,P2RX4,P2RX7,PABPN1,PAFAH1B1,PAX2,PAX6,PBLD,PCSK5,PDE2A,PDE3A,PDE4D,PDGFB,PDLIM5,PGAM2,PIGR,PIK3C2A,PIK3CA,PITPNA,PJA2,PLCB1,PLCB3,PLK2,PLN,PNOC,PPARG,PPP3CB,PRCP,PRKACA,PRKACB,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKRIP1,PRR4,PRRT2,PTEN,PTGS1,PTGS2,PTPRJ,PTPRO,PXN,RAB11A,RAB11FIP2,RABGGTA,RABGGTB,RAMP2,RAMP3,RASL10B,RBP4,RCAN1,RCSD1,RDH10,RENBP,RGS14,RGS16,RGS2,RNPEP,ROCK1,ROCK2,RP2,RP9,RPGR,RTP4,RYR1,RYR2,S100B,SCN1B,SCN2B,SCN3B,SCN4B,SCN5A,SCN8A,SCN9A,SCNN1G,SCPEP1,SDR16C5,SERPINA3,SERPINB6,SERPINF2,SERPING1,SGCD,SGK1,SHANK1,SHANK2,SHROOM4,SLC1A4,SLC22A18,SLC24A1,SLC26A6,SLC46A1,SLC4A5,SLC6A8,SLC8A1,SLC9A3R1,SLIT2,SMTN,SNAI2,SNTA1,SNTB1,SOBP,SOD1,SOD2,SORBS1,SORBS2,SORBS3,SOX9,SPTBN4,SRC,SSPN,ST3GAL4,STAC3,STAT1,STRA6,STRAP,STRC,SULF1,SULF2,TACR2,TAS1R3,TAZ,TBC1D8,TBL1X,TBX3,TEK,TFAP2A,TGFB1,TIMM10,TIMM13,TIMM8B,TIMM9,TJP2,TLN1,TLR4,TLR9,TMOD1,TMOD2,TMOD3,TNNC1,TNNI1,TNNI3,TNNT1,TNNT2,TPCN2,TPM1,TPM2,TPM3,TPM4,TPP1,TPRN,TRPV1,TRPV2,TRPV4,TSHZ3,TTC8,TTN,TUSC3,UBR3,UNC13B,UTRN,VAX2,VCL,VEGFA,VEGFB,VIM,VIPR1,VLDLR,WDR1,WFS1,XCL2,XPNPEP3,YES1,ZIC2,ZNF354A
REGULATION OF ORGAN MORPHOGENESIS%GOBP%GO:2000027	REGULATION OF ORGAN MORPHOGENESIS	2.66251707116346e-07	7.30626008057503e-05	1	AGT,AHI1,ASPN,BASP1,BCOR,BMP2,BMP4,CD34,CITED2,CTNNB1,DVL1,DVL2,DVL3,FBXW7,FGF7,FGFR2,GATA3,GREM1,HAND2,HES1,HGF,HPN,LHX1,LIF,MAGI2,MESP1,MYC,NACA,NFIB,NOG,PAX2,PAX8,PDGFA,PML,POU5F1,RBPJ,RNF207,SIX1,SIX2,SIX4,SMO,SOX9,STAT1,SULF1,TACSTD2,TBX2,TFAP2A,TNF,VEGFA,WNT6,WT1,XBP1
NEUROLOGICAL SYSTEM PROCESS%GOBP%GO:0050877	NEUROLOGICAL SYSTEM PROCESS	3.2498603297989e-07	8.42255468806214e-05	1	ABCA7,ABLIM1,ACE2,ADCY3,ADORA2A,AGTPBP1,ALDH7A1,ALOXE3,ANK3,ANO1,APP,ATAD1,ATP2B2,ATP6V1B1,ATXN7,AZGP1,BBS4,BEST1,BHLHB9,C5AR1,CABP4,CACNA1D,CACNA1F,CACNA2D4,CACNG4,CBR3,CD36,CDH23,CHD7,CHMP2B,CHRNA1,CHRNB1,CLDN5,CLIC5,CLN3,CNGB1,CNTNAP1,COL11A1,COL11A2,COL18A1,COL1A1,CPEB3,CRYZ,CST1,CTNNA2,CTNS,CYFIP1,CYP1B1,DCDC2,DFNA5,DFNB31,DGCR2,DHRS3,DLG4,DNAJC19,DOPEY2,DRAM2,DRD2,EFEMP1,EGFR,EIF2AK4,EIF4EBP2,EML2,EPHB1,EYA3,EYA4,FAM134B,FAM65B,FGF13,FSCN2,FYN,GCH1,GJA3,GLRB,GNAL,GNAS,GPR143,GPR155,GRIN2A,HLA-DRA,HOXA1,HPN,IMPG2,KCNJ11,KCNMB2,KCNMB3,KCNMB4,KCNQ1,KIFC3,KIT,KLK8,KPTN,LPO,LRTOMT,MAGT1,MAPK8IP2,MARVELD2,MEF2C,MKKS,MME,MMP24,MYH14,MYO3A,MYO7A,MYO9A,NDP,NDUFB9,NF1,NIPBL,NLGN2,NLGN3,NLGN4X,NRXN2,NRXN3,NTF4,NTRK2,OAT,OBP2A,OBP2B,OPA1,OPA3,OPRL1,OR2A4,OR2A7,OR2W3,P2RX4,P2RX7,PAFAH1B1,PAX2,PAX6,PIGR,PITPNA,PJA2,PLCB1,PLK2,PNOC,PPP3CB,PRR4,PRRT2,PTEN,RABGGTA,RABGGTB,RDH10,RGS14,RGS16,RP2,RP9,RPGR,RTP4,S100B,SCN1B,SCN5A,SCN8A,SCN9A,SDR16C5,SERPINB6,SGK1,SHANK1,SHANK2,SHROOM4,SLC1A4,SLC24A1,SNAI2,SOBP,SOD1,SOD2,SPTBN4,ST3GAL4,STRA6,STRC,TAS1R3,TBL1X,TFAP2A,TIMM10,TIMM13,TIMM8B,TIMM9,TNNI3,TPP1,TPRN,TRPV1,TRPV2,TSHZ3,TTC8,TUSC3,UBR3,VAX2,VLDLR,WDR1,WFS1,ZIC2,ZNF354A
REGULATION OF SYSTEM PROCESS%GOBP%GO:0044057	REGULATION OF SYSTEM PROCESS	3.58675385472319e-07	8.80642459593878e-05	1	ACE2,ACE,ACPP,ADCY6,ADM,ADRA1B,ADRB2,ADRBK1,AGT,AKAP6,AKAP9,ANK2,APOA1,AQP1,ASPH,ATP1A1,ATP1A3,ATP1B1,ATP1B2,ATP2A1,ATP2A2,ATP2B4,AVPR1A,AVPR2,BDKRB2,BMPR2,C1QTNF1,C1QTNF3,CACNA1C,CACNA1D,CACNA1H,CALM1,CALM2,CALM3,CAMK2B,CAMK2D,CAMK2G,CAV1,CCL3,CELF2,CHRM3,CLIC2,CNN1,CORIN,CPS1,CTTN,CXADR,CYP2J2,DAPK3,DES,DICER1,DMD,DMPK,DOCK4,DOCK5,DRD2,DSC2,DSG2,DSP,ECE1,EDN1,EDN2,EIF2AK3,EMP2,EPHX2,F2RL1,F2R,FBXO32,FGF12,FKBP1B,FXYD1,GAL,GAS6,GDF9,GJA1,GJA5,GJC1,GLRX3,GPD1L,GSK3A,GSTM2,GSTO1,HAMP,HDAC4,HMOX1,HRH1,HSPB7,IGF1,IL1B,IL6ST,INHA,INHBA,INHBB,INPP5K,JUP,KCNE2,KCNH2,KCNIP2,KCNJ12,KCNJ2,KCNMB2,KCNMB4,KCNQ1,KLK8,LMCD1,MEF2A,MGLL,MTG1,MYL5,MYL9,NEDD4L,NKX3-1,NLGN2,NLGN3,NMU,NOS1AP,NOS3,NOV,NPR1,NR1H3,NR4A3,OXTR,P2RX4,PARD3,PARP1,PDE4B,PDE4D,PDE9A,PDGFB,PER2,PIK3CG,PKP2,PLCE1,PLN,PPP1R12B,PRKACA,PRKCA,PTPRO,RAB11FIP1,RAB11FIP3,RAB11FIP5,RANGRF,RGS2,RNF10,RNF207,RYR2,S100A1,SCN1B,SCN2B,SCN3B,SCN4B,SCN5A,SCPEP1,SGK1,SLC22A5,SLC8A1,SLC9A1,SMAD7,SMTNL1,SNTA1,SOD1,SPHK1,SPTBN4,SRF,SRI,STC1,TACR1,TACR2,TBX2,TGFB2,TMEM100,TNFRSF21,TNNC1,TNNI1,TNNT1,TNNT2,TPM1,TSHZ3,YWHAE
REGULATION OF KIDNEY DEVELOPMENT%GOBP%GO:0090183	REGULATION OF KIDNEY DEVELOPMENT	4.75295871147815e-07	0.000110413871252881	1	AGT,BASP1,BMP4,BMP7,CTNNB1,EGR1,FLCN,GATA3,LHX1,LIF,MYC,NOG,OSR1,PAX2,PAX8,PDGFA,PDGFB,PDGFRB,PRKX,PROM1,RET,SIX1,SIX2,SIX4,SMO,SOX9,STAT1,TACSTD2,VEGFA,WT1
ORGAN MORPHOGENESIS%GOBP%GO:0009887	ORGAN MORPHOGENESIS	4.97039934900427e-07	0.000110413871252881	1	ABLIM1,ACTA2,ACTG2,ACVR1,AES,AGTPBP1,AHI1,ALDH1A3,ANKRD11,APLP1,AQP1,AQP3,AQP5,AQP6,ATP6V1B1,AXIN1,AXIN2,BARX2,BAZ1B,BBS2,BBS4,BBS5,BBS7,BCOR,BHLHE41,BMP1,BMP2,BMP4,BMPR1A,BMPR1B,BMPR2,BRAF,CAV1,CCDC103,CCDC40,CCL2,CDSN,CEBPB,CEP290,CHD7,CITED2,CLDN5,CLIC5,COL13A1,COL18A1,COL1A1,COL1A2,COL5A1,COL5A2,COL9A1,COMP,CPE,CRB2,CRIP1,CSF1R,CTNNA2,CTNNB1,CTNNBIP1,CTSH,CYP26B1,DCN,DGCR2,DGCR6,DLC1,DLL1,DLL4,DLX5,DSCAML1,DSP,DVL2,EFEMP1,EFNA1,EIF4A3,ELF3,ELN,ENG,EPHA2,EPHB2,EPHB4,ERRFI1,ETV7,EVL,EZR,FAM20A,FBN1,FBN2,FGD1,FGF1,FGF2,FGFR1,FGFR2,FGFR3,FHL1,FKBP1A,FLRT2,FOLR1,FOXC1,FOXF1,FOXJ1,FREM1,FUZ,GATA2,GATA3,GATA4,GATA5,GATA6,GJA5,GLI2,GLI3,GSC,GSK3A,HAND2,HAS2,HCCS,HDAC1,HDAC2,HES1,HEY1,HEY2,HEYL,HOXA1,HOXD3,HPN,HRAS,HTR2B,ID2,IFT122,IFT140,IL7,INHBA,INPPL1,INSR,IRX5,ITGA2,ITGA6,ITGAX,ITGB4,JAG1,KDM2B,KLHL3,LAMB1,LEF1,LFNG,LHX1,LRP5,LRP6,LRRK2,LTF,MEF2C,MEGF8,MESP1,MFAP2,MGP,MICAL2,MKKS,MMP13,MSN,MSX1,MSX2,MTHFD1L,MTHFD1,MYC,MYLK,MYO7A,NDRG4,NEK8,NF1,NIPBL,NKD1,NKX3-1,NKX6-1,NOG,NOTCH1,NOTCH2,NPHP3,NPNT,NRL,NRP1,NTF4,OLFM1,ONECUT2,OSR1,OSR2,PAFAH1B1,PAX2,PAX6,PAX8,PDGFA,PDGFRA,PHACTR4,PKD1,PKD2,PKP2,PPP2R3A,PRKX,PROM1,PTCH1,PTEN,PTK2,PTPRM,RAB23,RAB33B,RARG,RBP4,RBPJ,RFNG,ROGDI,RP1,RPS6KA1,RYR1,RYR2,S1PR1,SALL1,SCN5A,SCRIB,SDK1,SDK2,SEMA6A,SETDB2,SFRP2,SFTPB,SHROOM2,SIX1,SIX2,SIX4,SKI,SLC9A3R1,SMAD2,SMAD7,SMO,SNAI2,SOD1,SOX11,SOX17,SOX18,SOX4,SOX9,SRF,STAT3,STC1,STIL,STIM1,STRA6,STRC,STX2,SYK,TBX2,TBX3,TCF21,TDRD7,TEK,TFAP2A,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,TGFBR3,THY1,TLE1,TLE2,TLE3,TMEM176B,TNNC1,TNNI3,TNNT2,TOPORS,TPM1,TRPS1,TSPAN12,TTN,TUFT1,TWIST1,VANGL2,VEGFA,WNT10A,WNT11,WNT2B,WNT2,WNT5A,WNT6,WNT7A,WNT7B,WNT9A,WT1,WWOX,ZFPM1,ZFPM2,ZIC1,ZNF22
