GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0034765	regulation of ion transmembrane transport	1.58e-02	1.58e-02	1	NEDD4,CACNG4,JPH4,CAV1,CXCL12,PDE4D,PDGFRB,PKD2,KCNJ8,ATP1B2,DPP6,DLG4,AGT,THBS1,JPH2,ADRA2A,KCNJ15,KCNAB1,NLGN2,DAPK1,PLN
GO:0032412	regulation of ion transmembrane transporter activity	2.87e-02	2.87e-02	1	NEDD4,CACNG4,JPH4,CAV1,PDE4D,PKD2,ATP1B2,DLG4,AGT,JPH2,ADRA2A,KCNAB1,NLGN2,DAPK1,PLN
GO:0034764	positive regulation of transmembrane transport	1.76e-02	1.76e-02	1	CXCL12,PDGFRB,PKD2,ATP1B2,JPH2
GO:0050801	ion homeostasis	4.40e-02	4.40e-02	1	HEPH,JPH4,ABL1,DMPK,CAV1,SFRP4,CXCL12,WFS1,PDE4D,PKD2,SLC12A4,PLCG1,EDN2,ATP1B2,DLG4,PDGFRA,AGT,CCL21,APP,CORIN,JPH2,CACNA1C,EDNRA,BMP6,THY1,CALB2,C1QTNF1,F2R,ENPP1,LPAR1,PLN,TGM2,MLLT11,SLC12A8,CCL14
GO:0098771	inorganic ion homeostasis	1.64e-02	1.64e-02	1	HEPH,JPH4,ABL1,DMPK,CAV1,SFRP4,CXCL12,WFS1,PDE4D,PKD2,SLC12A4,PLCG1,EDN2,ATP1B2,DLG4,PDGFRA,AGT,CCL21,APP,CORIN,JPH2,CACNA1C,EDNRA,BMP6,THY1,CALB2,C1QTNF1,F2R,ENPP1,LPAR1,PLN,TGM2,SLC12A8,CCL14
GO:0055083	monovalent inorganic anion homeostasis	3.67e-02	3.67e-02	1	SFRP4,SLC12A4,ENPP1,SLC12A8
GO:0072505	divalent inorganic anion homeostasis	2.90e-02	2.90e-02	1	SFRP4,ENPP1
GO:0072506	trivalent inorganic anion homeostasis	2.47e-02	2.47e-02	1	SFRP4,ENPP1
GO:0055062	phosphate ion homeostasis	2.47e-02	2.47e-02	1	SFRP4,ENPP1
GO:0055080	cation homeostasis	3.21e-02	3.21e-02	1	HEPH,JPH4,ABL1,DMPK,CAV1,CXCL12,WFS1,PDE4D,PKD2,SLC12A4,PLCG1,EDN2,ATP1B2,DLG4,PDGFRA,AGT,CCL21,APP,CORIN,JPH2,CACNA1C,EDNRA,BMP6,THY1,CALB2,C1QTNF1,F2R,LPAR1,PLN,TGM2,SLC12A8,CCL14
GO:0072507	divalent inorganic cation homeostasis	6.54e-03	6.54e-03	1	JPH4,ABL1,DMPK,CAV1,CXCL12,WFS1,PDE4D,PKD2,PLCG1,EDN2,DLG4,PDGFRA,CCL21,JPH2,CACNA1C,EDNRA,THY1,CALB2,C1QTNF1,F2R,LPAR1,PLN,TGM2,CCL14
GO:0055065	metal ion homeostasis	9.26e-03	9.26e-03	1	HEPH,JPH4,ABL1,DMPK,CAV1,CXCL12,WFS1,PDE4D,PKD2,SLC12A4,PLCG1,EDN2,ATP1B2,DLG4,PDGFRA,AGT,CCL21,APP,CORIN,JPH2,CACNA1C,EDNRA,BMP6,THY1,CALB2,C1QTNF1,F2R,LPAR1,PLN,TGM2,SLC12A8,CCL14
GO:0055074	calcium ion homeostasis	2.18e-03	2.18e-03	1	JPH4,ABL1,DMPK,CAV1,CXCL12,WFS1,PDE4D,PKD2,PLCG1,EDN2,DLG4,PDGFRA,CCL21,JPH2,CACNA1C,EDNRA,THY1,CALB2,C1QTNF1,F2R,LPAR1,PLN,TGM2,CCL14
GO:0055082	cellular chemical homeostasis	1.22e-02	1.22e-02	1	C1QTNF3,HEPH,JPH4,ABL1,DMPK,CAV1,RAB11FIP2,CXCL12,WFS1,PDE4D,PKD2,PLCG1,SOX4,EDN2,ATP1B2,DLG4,PDGFRA,RAB11FIP5,CCL21,APP,JPH2,ADRA2A,CACNA1C,EDNRA,BMP6,THY1,CALB2,C1QTNF1,F2R,ENPP1,LPAR1,PLN,TGM2,AQP1,CCL14
GO:0006873	cellular ion homeostasis	3.49e-02	3.49e-02	1	HEPH,JPH4,ABL1,DMPK,CAV1,CXCL12,WFS1,PDE4D,PKD2,PLCG1,EDN2,ATP1B2,DLG4,PDGFRA,CCL21,APP,JPH2,CACNA1C,EDNRA,BMP6,THY1,CALB2,C1QTNF1,F2R,ENPP1,LPAR1,PLN,TGM2,CCL14
GO:0030003	cellular cation homeostasis	4.63e-02	4.63e-02	1	HEPH,JPH4,ABL1,DMPK,CAV1,CXCL12,WFS1,PDE4D,PKD2,PLCG1,EDN2,ATP1B2,DLG4,PDGFRA,CCL21,APP,JPH2,CACNA1C,EDNRA,BMP6,THY1,CALB2,C1QTNF1,F2R,LPAR1,PLN,TGM2,CCL14
GO:0072503	cellular divalent inorganic cation homeostasis	3.14e-03	3.14e-03	1	JPH4,ABL1,DMPK,CAV1,CXCL12,WFS1,PDE4D,PKD2,PLCG1,EDN2,DLG4,PDGFRA,CCL21,JPH2,CACNA1C,EDNRA,THY1,CALB2,C1QTNF1,F2R,LPAR1,PLN,TGM2,CCL14
GO:0006875	cellular metal ion homeostasis	1.53e-02	1.53e-02	1	HEPH,JPH4,ABL1,DMPK,CAV1,CXCL12,WFS1,PDE4D,PKD2,PLCG1,EDN2,ATP1B2,DLG4,PDGFRA,CCL21,APP,JPH2,CACNA1C,EDNRA,BMP6,THY1,CALB2,C1QTNF1,F2R,LPAR1,PLN,TGM2,CCL14
GO:0006874	cellular calcium ion homeostasis	1.30e-03	1.30e-03	1	JPH4,ABL1,DMPK,CAV1,CXCL12,WFS1,PDE4D,PKD2,PLCG1,EDN2,DLG4,PDGFRA,CCL21,JPH2,CACNA1C,EDNRA,THY1,CALB2,C1QTNF1,F2R,LPAR1,PLN,TGM2,CCL14
GO:0051480	cytosolic calcium ion homeostasis	1.59e-03	1.59e-03	1	JPH4,ABL1,CAV1,PDE4D,PKD2,PLCG1,EDN2,DLG4,PDGFRA,CCL21,JPH2,CACNA1C,EDNRA,THY1,CALB2,C1QTNF1,F2R,LPAR1,PLN
GO:0007204	positive regulation of cytosolic calcium ion concentration	3.23e-03	3.23e-03	1	JPH4,ABL1,CAV1,PDE4D,PKD2,PLCG1,EDN2,DLG4,PDGFRA,CCL21,JPH2,CACNA1C,EDNRA,THY1,C1QTNF1,F2R,LPAR1
GO:0051482	positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway	3.28e-02	3.28e-02	1	F2R,LPAR1
GO:0070509	calcium ion import	7.14e-03	7.14e-03	1	CACNA1G,NALCN,CXCL12,PDGFRB,PKD2,CACNA1C,CACNA1H,PLN
GO:0006816	calcium ion transport	4.19e-02	4.19e-02	1	FYN,CALCRL,CACNG4,JPH4,NALCN,CAV1,CXCL12,WFS1,PDE4D,PDGFRB,PKD2,PLCG1,CCL21,JPH2,ADRA2A,CACNA1C,THY1,ORAI2,F2R,RASA3,PDE2A,PLN
GO:0060401	cytosolic calcium ion transport	2.95e-02	2.95e-02	1	JPH4,CAV1,PDE4D,PKD2,PLCG1,CCL21,JPH2,CACNA1C,THY1,F2R
GO:0060402	calcium ion transport into cytosol	2.95e-02	2.95e-02	1	JPH4,CAV1,PDE4D,PKD2,PLCG1,CCL21,JPH2,CACNA1C,THY1,F2R
GO:0051924	regulation of calcium ion transport	2.87e-02	2.87e-02	1	JPH4,CAV1,CXCL12,WFS1,PDE4D,PDGFRB,PKD2,PLCG1,JPH2,ADRA2A,CACNA1C,THY1,F2R,PLN
GO:0090279	regulation of calcium ion import	1.07e-03	1.07e-03	1	CXCL12,PDGFRB,PKD2,PLN
GO:0051928	positive regulation of calcium ion transport	2.11e-02	2.11e-02	1	CAV1,CXCL12,WFS1,PDGFRB,PKD2,PLCG1,JPH2,THY1,F2R
GO:0034767	positive regulation of ion transmembrane transport	1.28e-02	1.28e-02	1	CXCL12,PDGFRB,PKD2,ATP1B2,JPH2
GO:0090280	positive regulation of calcium ion import	7.64e-03	7.64e-03	1	CXCL12,PDGFRB
GO:0042310	vasoconstriction	4.03e-02	4.03e-02	1	CAV1,EDN2,AGT,EDNRA,F2R
GO:1901522	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	5.60e-03	5.60e-03	1	DLX5,SMAD9,RUNX2,BMP2
GO:0007224	smoothened signaling pathway	5.17e-03	5.17e-03	1	EVC,GLI2,CHRD,SFRP1,GLI3,BMP4,GLIS2,SMO,GAS1
GO:0008589	regulation of smoothened signaling pathway	7.76e-03	7.76e-03	1	EVC,CHRD,SFRP1,GLI3,GLIS2,GAS1
GO:0045879	negative regulation of smoothened signaling pathway	2.31e-03	2.31e-03	1	CHRD,GLI3,GLIS2
GO:0021910	smoothened signaling pathway involved in ventral spinal cord patterning	1.57e-02	1.57e-02	1	GLI2,CHRD
GO:0035329	hippo signaling	6.70e-03	6.70e-03	1	AMOTL2,LATS2,AMOTL1,DCHS1,SOX11,FAT4
GO:2000482	regulation of interleukin-8 secretion	4.78e-02	4.78e-02	1	SSC5D,F2R
GO:0009743	response to carbohydrate	4.52e-02	4.52e-02	1	CALCRL,RAB11FIP2,SOX4,RAB11FIP5,THBS1,ADRA2A,COLEC12,LPL
GO:0071322	cellular response to carbohydrate stimulus	3.22e-02	3.22e-02	1	CALCRL,RAB11FIP2,SOX4,RAB11FIP5,ADRA2A,COLEC12
GO:0070141	response to UV-A	1.21e-02	1.21e-02	1	CCND1,MME
GO:0035931	mineralocorticoid secretion	1.23e-02	1.23e-02	1	AGT,C1QTNF1
GO:0035932	aldosterone secretion	1.23e-02	1.23e-02	1	AGT,C1QTNF1
GO:0015669	gas transport	3.04e-02	3.04e-02	1	CYGB,HBA1,AQP1
GO:0032534	regulation of microvillus assembly	3.52e-02	3.52e-02	1	FSCN1,PODXL
GO:0038127	ERBB signaling pathway	1.78e-03	1.78e-03	1	RHBDF1,FYN,BCAR1,FGFR3,ABL1,FGF1,PDGFRB,EFEMP1,ERRFI1,ITPR2,NR4A1,PLCG1,KRAS,PDGFRA,AGT,SPRY2,FGF7,APP,ADAM12,ADRA2A,KIT,SPRY1,IRS1,SOCS5,ITGA1
GO:0007173	epidermal growth factor receptor signaling pathway	1.29e-03	1.29e-03	1	RHBDF1,FYN,BCAR1,FGFR3,ABL1,FGF1,PDGFRB,EFEMP1,ERRFI1,ITPR2,NR4A1,PLCG1,KRAS,PDGFRA,AGT,SPRY2,FGF7,APP,ADAM12,ADRA2A,KIT,SPRY1,IRS1,SOCS5,ITGA1
GO:0010469	regulation of receptor activity	3.96e-06	3.96e-06	1	CACNG4,SERPINE1,PDE4D,ERRFI1,PKD2,PLAU,DLG4,APP,ADRA2A,HEYL,GREM1,IGF2,NLGN2,SOCS5,DAPK1
GO:2000272	negative regulation of receptor activity	1.86e-02	1.86e-02	1	ERRFI1,HEYL,SOCS5
GO:2000273	positive regulation of receptor activity	1.46e-02	1.46e-02	1	PKD2,ADRA2A,GREM1,IGF2
GO:1901184	regulation of ERBB signaling pathway	2.28e-02	2.28e-02	1	RHBDF1,ERRFI1,AGT,SPRY2,APP,ADRA2A,SPRY1,SOCS5,ITGA1
GO:0042058	regulation of epidermal growth factor receptor signaling pathway	1.88e-02	1.88e-02	1	RHBDF1,ERRFI1,AGT,SPRY2,APP,ADRA2A,SPRY1,SOCS5,ITGA1
GO:0007176	regulation of epidermal growth factor-activated receptor activity	4.13e-02	4.13e-02	1	ERRFI1,APP,ADRA2A,SOCS5
GO:0000302	response to reactive oxygen species	9.66e-03	9.66e-03	1	HGF,PTPRN,PKD2,PDGFRA,CYP1B1,FBLN5,TPM1,RHOB,GPX8,APOD,HBA1,AQP1
GO:0034614	cellular response to reactive oxygen species	2.23e-02	2.23e-02	1	HGF,PKD2,PDGFRA,CYP1B1,FBLN5,TPM1,RHOB,AQP1
GO:0031638	zymogen activation	3.89e-02	3.89e-02	1	SERPINE1,F3,PLAU,THBS1,CLEC3B,DLC1,F2R
GO:0031639	plasminogen activation	5.71e-04	5.71e-04	1	SERPINE1,PLAU,THBS1,CLEC3B
GO:0010755	regulation of plasminogen activation	4.34e-04	4.34e-04	1	SERPINE1,THBS1,CLEC3B
GO:0010757	negative regulation of plasminogen activation	3.24e-03	3.24e-03	1	SERPINE1,THBS1
GO:0097285	cell-type specific apoptotic process	8.20e-04	8.20e-04	1	IGF1,FAP,SFRP1,DMPK,SERPINE1,SFRP4,GLI3,CXCL12,UNC5B,WFS1,SEMA5A,FOXP1,TGFB3,TEK,BMP4,KDR,CCL21,THBS1,APP,RHOB,NTRK2,ANGPT1,HAND2,SCG2,CDK5R1,F2R
GO:1904019	epithelial cell apoptotic process	1.46e-03	1.46e-03	1	SERPINE1,SFRP4,WFS1,SEMA5A,TEK,KDR,THBS1,ANGPT1,SCG2
GO:0072577	endothelial cell apoptotic process	1.21e-03	1.21e-03	1	SERPINE1,SEMA5A,TEK,KDR,THBS1,ANGPT1,SCG2
GO:1904035	regulation of epithelial cell apoptotic process	3.92e-04	3.92e-04	1	SERPINE1,SFRP4,WFS1,SEMA5A,TEK,KDR,THBS1,ANGPT1,SCG2
GO:2000351	regulation of endothelial cell apoptotic process	5.32e-04	5.32e-04	1	SERPINE1,SEMA5A,TEK,KDR,THBS1,ANGPT1,SCG2
GO:1904036	negative regulation of epithelial cell apoptotic process	5.86e-04	5.86e-04	1	SERPINE1,WFS1,SEMA5A,TEK,KDR,ANGPT1,SCG2
GO:2000352	negative regulation of endothelial cell apoptotic process	3.38e-04	3.38e-04	1	SERPINE1,SEMA5A,TEK,KDR,ANGPT1,SCG2
GO:0010942	positive regulation of cell death	3.68e-04	3.68e-04	1	MARK4,NGFR,FAP,PLEKHG2,ABL1,GADD45B,SFRP1,BNIP3L,CAV1,SFRP4,SEPT4,RASGRF2,F3,TGFB3,TNFRSF8,INHBA,PTGIS,SOX4,BMP4,BMP2,AGT,THBS1,CYP1B1,ADAMTSL4,RHOB,SLIT2,SFRP2,HMGA2,ITGB1,LATS2,DLC1,DAPK3,AKAP13,SOX7,CDK5R1,F2R,DAPK1,TGM2,HBA1,MLLT11,PNMA2
GO:0043068	positive regulation of programmed cell death	3.18e-04	3.18e-04	1	MARK4,NGFR,FAP,PLEKHG2,ABL1,GADD45B,SFRP1,BNIP3L,CAV1,SFRP4,SEPT4,RASGRF2,F3,TGFB3,TNFRSF8,INHBA,PTGIS,SOX4,BMP4,BMP2,AGT,THBS1,CYP1B1,ADAMTSL4,RHOB,SLIT2,SFRP2,HMGA2,ITGB1,LATS2,DLC1,DAPK3,AKAP13,SOX7,CDK5R1,F2R,DAPK1,TGM2,MLLT11,PNMA2
GO:1900117	regulation of execution phase of apoptosis	3.44e-03	3.44e-03	1	FAP,PTGIS,DLC1
GO:0043065	positive regulation of apoptotic process	5.04e-04	5.04e-04	1	NGFR,FAP,PLEKHG2,ABL1,GADD45B,SFRP1,BNIP3L,CAV1,SFRP4,SEPT4,RASGRF2,F3,TGFB3,TNFRSF8,INHBA,PTGIS,SOX4,BMP4,BMP2,AGT,THBS1,CYP1B1,ADAMTSL4,RHOB,SLIT2,SFRP2,HMGA2,ITGB1,LATS2,DLC1,DAPK3,AKAP13,SOX7,CDK5R1,F2R,DAPK1,TGM2,MLLT11,PNMA2
GO:1904037	positive regulation of epithelial cell apoptotic process	8.78e-03	8.78e-03	1	SFRP4,THBS1
GO:1900119	positive regulation of execution phase of apoptosis	3.85e-04	3.85e-04	1	FAP,PTGIS,DLC1
GO:0090036	regulation of protein kinase C signaling	2.56e-02	2.56e-02	1	FLT4,MYADM,MC1R
GO:0046323	glucose import	1.53e-03	1.53e-03	1	IGF1,SLC2A3,NGFR,SORBS1,RARRES2,SLC2A1,PID1,IRS1,SLC2A10,ENPP1
GO:0044381	glucose import in response to insulin stimulus	3.70e-03	3.70e-03	1	NGFR,RARRES2,PID1,IRS1
GO:0046324	regulation of glucose import	2.94e-03	2.94e-03	1	IGF1,NGFR,SORBS1,RARRES2,PID1,IRS1,ENPP1
GO:0046325	negative regulation of glucose import	4.89e-02	4.89e-02	1	PID1,ENPP1
GO:1900076	regulation of cellular response to insulin stimulus	1.72e-02	1.72e-02	1	NGFR,RARRES2,PID1,IGF2,IRS1,ENPP1
GO:2001273	regulation of glucose import in response to insulin stimulus	3.70e-03	3.70e-03	1	NGFR,RARRES2,PID1,IRS1
GO:0044091	membrane biogenesis	3.06e-02	3.06e-02	1	CAV1,LRP4,NLGN4X,PTPRD,NLGN2
GO:0050803	regulation of synapse structure or activity	3.52e-02	3.52e-02	1	SRPX2,EGR2,LRRC4B,DLG4,LRP4,APP,PLK2,NLGN2,ROBO2,ARHGEF15
GO:0050808	synapse organization	2.77e-05	2.77e-05	1	PCDHB4,NRCAM,SRPX2,SPOCK2,PCDHB6,PDZRN3,LRRC4B,DLG4,LRP4,NLGN4X,FARP1,PTPRD,NLGN2,F2R,ROBO2,ARHGEF15,ELFN1
GO:0007528	neuromuscular junction development	3.58e-02	3.58e-02	1	PDZRN3,LRP4,F2R
GO:0097090	presynaptic membrane organization	6.70e-03	6.70e-03	1	LRP4,NLGN4X,PTPRD,NLGN2
GO:0050807	regulation of synapse organization	4.34e-02	4.34e-02	1	SRPX2,LRRC4B,LRP4,NLGN2,ROBO2,ARHGEF15
GO:0001941	postsynaptic membrane organization	2.08e-02	2.08e-02	1	DLG4,LRP4,NLGN4X,NLGN2
GO:0071709	membrane assembly	1.84e-02	1.84e-02	1	CAV1,LRP4,NLGN4X,PTPRD,NLGN2
GO:0007416	synapse assembly	3.53e-05	3.53e-05	1	PCDHB4,NRCAM,SRPX2,SPOCK2,PCDHB6,LRRC4B,DLG4,LRP4,NLGN4X,FARP1,PTPRD,NLGN2,ROBO2
GO:0097104	postsynaptic membrane assembly	1.66e-02	1.66e-02	1	LRP4,NLGN4X,NLGN2
GO:0097105	presynaptic membrane assembly	3.09e-03	3.09e-03	1	LRP4,NLGN4X,PTPRD,NLGN2
GO:0044872	lipoprotein localization	2.76e-02	2.76e-02	1	LRP1,CD36
GO:0042953	lipoprotein transport	2.76e-02	2.76e-02	1	LRP1,CD36
GO:0048014	Tie signaling pathway	3.28e-03	3.28e-03	1	TEK,ANGPT1
GO:0034405	response to fluid shear stress	4.35e-02	4.35e-02	1	PKD2,KLF2,HAS2
GO:0071498	cellular response to fluid shear stress	1.26e-02	1.26e-02	1	PKD2,KLF2,HAS2
GO:0051043	regulation of membrane protein ectodomain proteolysis	2.19e-02	2.19e-02	1	TIMP2,TIMP3,SH3D19,ADRA2A
GO:0051045	negative regulation of membrane protein ectodomain proteolysis	2.43e-03	2.43e-03	1	TIMP2,TIMP3
GO:0060242	contact inhibition	4.19e-02	4.19e-02	1	FAP,SMO
GO:0070562	regulation of vitamin D receptor signaling pathway	2.32e-02	2.32e-02	1	SNAI2,KANK2
GO:0061082	myeloid leukocyte cytokine production	4.39e-02	4.39e-02	1	TGFB3,SEMA7A,KIT
GO:0010934	macrophage cytokine production	1.76e-02	1.76e-02	1	TGFB3,SEMA7A
GO:0010935	regulation of macrophage cytokine production	1.76e-02	1.76e-02	1	TGFB3,SEMA7A
GO:0001996	positive regulation of heart rate by epinephrine-norepinephrine	1.90e-02	1.90e-02	1	PDE4D,TPM1
GO:0033622	integrin activation	9.61e-04	9.61e-04	1	FERMT2,COL16A1,FN1,FBLIM1,SELP
GO:0090342	regulation of cell aging	2.94e-02	2.94e-02	1	NUAK1,CDK6,TWIST1,HMGA2
GO:2000772	regulation of cellular senescence	1.19e-02	1.19e-02	1	NUAK1,CDK6,TWIST1,HMGA2
GO:0043277	apoptotic cell clearance	4.05e-03	4.05e-03	1	LRP1,THBS1,TGM2
GO:0072338	cellular lactam metabolic process	1.41e-02	1.41e-02	1	GHR,MME
GO:0046449	creatinine metabolic process	8.61e-03	8.61e-03	1	GHR,MME
GO:0032368	regulation of lipid transport	1.92e-02	1.92e-02	1	LRP1,THBS1,C1QTNF1
GO:0032370	positive regulation of lipid transport	4.05e-02	4.05e-02	1	LRP1,C1QTNF1
GO:0010668	ectodermal cell differentiation	9.62e-03	9.62e-03	1	EDA2R,FZD7
GO:0051346	negative regulation of hydrolase activity	1.70e-02	1.70e-02	1	TFPI,HGF,ABL1,TIMP3,SERPINE1,RECK,SH3BP4,SERPINF1,SPOCD1,AGT,SYTL2,THBS1,APP,ECM1,SLIT2,IQGAP2,CRB2,SERPINH1,SPOCK1,FARP1,SPRED1,CST1,PLN,CR1,ELFN1,AQP1,ANXA8
GO:0052547	regulation of peptidase activity	1.04e-02	1.04e-02	1	TFPI,HGF,NGFR,TIMP3,CAV1,PCOLCE,SERPINE1,F3,RECK,SERPINF1,AGT,THBS1,APP,ECM1,CRB2,SERPINH1,SPOCK1,PCOLCE2,DLC1,CST1,SOX7,F2R,MAPK12,DAPK1,CR1,AQP1,ANXA8
GO:1902571	regulation of serine-type peptidase activity	9.30e-03	9.30e-03	1	CR1,ANXA8
GO:1900003	regulation of serine-type endopeptidase activity	9.30e-03	9.30e-03	1	CR1,ANXA8
GO:0010466	negative regulation of peptidase activity	2.60e-02	2.60e-02	1	TFPI,HGF,TIMP3,SERPINE1,RECK,SERPINF1,AGT,THBS1,APP,ECM1,CRB2,SERPINH1,SPOCK1,CST1,CR1,AQP1,ANXA8
GO:0010951	negative regulation of endopeptidase activity	3.95e-02	3.95e-02	1	TFPI,HGF,TIMP3,SERPINE1,RECK,SERPINF1,AGT,THBS1,APP,CRB2,SERPINH1,SPOCK1,CST1,CR1,AQP1,ANXA8
GO:0010644	cell communication by electrical coupling	1.67e-02	1.67e-02	1	CAV1,PDE4D,ATP1B2,CACNA1C,GJA1
GO:0086065	cell communication involved in cardiac conduction	4.90e-02	4.90e-02	1	CAV1,PDE4D,ATP1B2,CACNA1C,GJA1,GJC1
GO:0086064	cell communication by electrical coupling involved in cardiac conduction	9.07e-03	9.07e-03	1	CAV1,PDE4D,ATP1B2,CACNA1C,GJA1
GO:0003323	type B pancreatic cell development	4.59e-02	4.59e-02	1	CDK6,BMP4,BMP6
GO:0071605	monocyte chemotactic protein-1 production	3.03e-03	3.03e-03	1	C1QTNF3,TWIST1,APOD
GO:0071637	regulation of monocyte chemotactic protein-1 production	3.03e-03	3.03e-03	1	C1QTNF3,TWIST1,APOD
GO:0071638	negative regulation of monocyte chemotactic protein-1 production	8.32e-03	8.32e-03	1	C1QTNF3,APOD
GO:0035988	chondrocyte proliferation	3.73e-04	3.73e-04	1	FGFR3,HMGA2,DDR2,SIX2
GO:0042511	positive regulation of tyrosine phosphorylation of Stat1 protein	2.03e-02	2.03e-02	1	FGFR3,LIF,KIT
GO:1904406	negative regulation of nitric oxide metabolic process	6.12e-03	6.12e-03	1	CAV1,PTGIS,CD34
GO:1903427	negative regulation of reactive oxygen species biosynthetic process	1.90e-02	1.90e-02	1	CAV1,PTGIS,CD34
GO:0045019	negative regulation of nitric oxide biosynthetic process	6.12e-03	6.12e-03	1	CAV1,PTGIS,CD34
GO:0045737	positive regulation of cyclin-dependent protein serine/threonine kinase activity	4.05e-02	4.05e-02	1	CCND1,PKD2,CCND2
GO:0048010	vascular endothelial growth factor receptor signaling pathway	2.69e-05	2.69e-05	1	FYN,FLT4,BCAR1,NEDD4,CAV1,SHB,NRP2,PGF,ITPR2,PLCG1,KDR,SHC2,KRAS,VEGFC,ITGA5,SPHK1,CDH5,MAPK12,MEG3
GO:0030521	androgen receptor signaling pathway	7.31e-03	7.31e-03	1	PPAP2A,SFRP1,FOXP1,TCF21,PMEPA1,TGFB1I1,DAB2,HEYL
GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway	4.17e-02	4.17e-02	1	SFRP1,FOXP1,TCF21,DAB2,HEYL,KANK2
GO:0060765	regulation of androgen receptor signaling pathway	3.86e-03	3.86e-03	1	SFRP1,FOXP1,TCF21,DAB2,HEYL
GO:0033144	negative regulation of intracellular steroid hormone receptor signaling pathway	2.38e-03	2.38e-03	1	SFRP1,FOXP1,TCF21,DAB2,HEYL,KANK2
GO:0060766	negative regulation of androgen receptor signaling pathway	2.06e-04	2.06e-04	1	SFRP1,FOXP1,TCF21,DAB2,HEYL
GO:0051291	protein heterooligomerization	3.23e-02	3.23e-02	1	LRP4,SEPT11,COL6A1,COL6A2,HBA1
GO:0070208	protein heterotrimerization	3.86e-04	3.86e-04	1	COL6A1,COL6A2
GO:0007229	integrin-mediated signaling pathway	5.35e-04	5.35e-04	1	BCAR1,FERMT2,COL16A1,NEDD9,ITGA11,SEMA7A,ITGA10,ITGB1,ITGA2,COL3A1
GO:0008544	epidermis development	2.22e-03	2.22e-03	1	GLI2,PLOD1,PTHLH,SFRP4,COL7A1,ERRFI1,CTGF,INHBA,BMP4,KRT17,EDA2R,EMP1,FGF7,EPHA2,FLG,APCDD1,KRT5
GO:0045684	positive regulation of epidermis development	1.62e-02	1.62e-02	1	SFRP4,BMP4
GO:0045606	positive regulation of epidermal cell differentiation	1.01e-02	1.01e-02	1	SFRP4,BMP4
GO:0007259	JAK-STAT cascade	2.09e-02	2.09e-02	1	IGF1,FGFR3,CAV1,GHR,PKD2,LIF,AGT,CYP1B1,KIT,IRS1,SOCS5,F2R
GO:0046425	regulation of JAK-STAT cascade	1.85e-02	1.85e-02	1	IGF1,FGFR3,CAV1,GHR,LIF,AGT,CYP1B1,KIT,SOCS5,F2R
